"SpeciesName","HerbariumCode","Source","Collector","RecordNumber","CollectionDay","CollectionMonth","CollectionYear","Country","Admin1","Admin2","Admin3","Locality","Longitude","Latitude","EcologyNotes"
"Alnus incana","WIS","wisc_herb_scrape.R","Morris, Casey","SUWS014612","25","9","2001","USA","Wisconsin","Douglas","Superior","Superior Municipal Forest","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Gervais, Tom","SUWS014712","2","10","2001","USA","Wisconsin","Douglas","Superior","Superior Municipal Forest","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Larson, Bradley B.","SUWS014755","25","9","2001","USA","Wisconsin","Douglas","Superior","[Superior]","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Anderson, Derek S.","SUWS014786","18","9","2001","USA","Wisconsin","Douglas","Superior","Billings Park Boat Landing","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Tanton, Corey","SUWS016831","16","2","2002","USA","Wisconsin","Douglas","Superior","Superior Municipal Forest","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Larson, Bradley B.","SUWS016881","10","2","2002","USA","Wisconsin","Douglas","Superior","Near St. Louis Bay","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Watten, Joshua","SUWS017013","27","3","2001","USA","Wisconsin","Douglas","Superior","UWS [University of Wisconsin - Superior] heating plant [T19N - original in error]","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Anderson, Derek S.","SUWS017499","30","6","2002","USA","Wisconsin","Douglas","Amnicon Falls","Amnicon Falls State Park - Plot 2","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Martorano, Paul","UWEC00170","12","6","1968","USA","Wisconsin","Marathon","Weston","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Catto, Scot G.","UWEC00171","NA","NA","NA","USA","Wisconsin","Washburn","","7 mi. W of Minong","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Borman, Susan Cray","UWEC00172","27","7","1985","USA","Wisconsin","Chippewa","","W of the access road to Bob Howe Lake","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Sommer, Richard","UWEC00173","18","7","1972","USA","Wisconsin","Portage","Sharon","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Tomesh, Bob","UWEC00174","4","7","1969","USA","Wisconsin","Barron","Bear Lake","Along Sucker Creek","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Wolniakowski, Krys","UWEC00175","2","10","1976","USA","Wisconsin","Eau Claire","","Bank of Elk Creek Lake","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Henrickson, James","UWEC00176","21","5","1961","USA","Wisconsin","Chippewa","","Northern shore of Lake Hallie","0","0","Frequent."
"Alnus incana","WIS","wisc_herb_scrape.R","Lorentz, Dennis","UWEC00177","4","7","1973","USA","Wisconsin","Barron","","[Co. added by editor]","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Sommer, Richard","UWEC00178","8","7","1972","USA","Wisconsin","Portage","Dewey","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Hillery, Allen","UWEC00179","20","6","1973","USA","Wisconsin","Chippewa","Birch Creek","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","O'Connell, Jerome","UWEC00180","13","10","1961","USA","Wisconsin","Chippewa","Chippewa Falls","Found along the bank of the Chippewa River about 1 mi. up from river from the Northern States Power Co. in Chippewa Falls","0","0","Tree about 15' high"
"Alnus incana","WIS","wisc_herb_scrape.R","Fuerstenau, D.","UWEC00181","22","9","1979","USA","Wisconsin","Eau Claire","Eau Claire","Lowes Creek Bottoms just S of Eau Claire; Washington Twp.","0","0","Small tree."
"Alnus incana","WIS","wisc_herb_scrape.R","Smith, Julie M.","UWEC00182","29","5","1978","USA","Wisconsin","Oneida","Rhinelander","Wisconsin River Bank","0","0","6'."
"Alnus incana","WIS","wisc_herb_scrape.R","Smith, Julie M.","UWEC00183","29","5","1978","USA","Wisconsin","Oneida","Rhinelander","Wisconsin River Bank","0","0","5'."
"Alnus incana","WIS","wisc_herb_scrape.R","Albrecht, Debbie","UWEC00184","10","9","1975","USA","Wisconsin","Eau Claire","Eau Claire","University of Wisconsin- Eau Claire campus, along stream bank of Mini Creek in front of Nursing Building","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Rogers, S.","UWEC00185","18","9","1983","USA","Wisconsin","Adams","Friendship","Roche-a-cree Creek [Roche A Cri], CTH J, 5 mi. W of Friendship","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Guthman, Wayne","UWEC00186","18","5","1969","USA","Wisconsin","Chippewa","Ruby","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Peterman, Jeffrey","UWEC00187","NA","NA","NA","USA","Wisconsin","Eau Claire","Washington","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Anderson, Richard K.","UWEC00188","17","5","1959","USA","Wisconsin","Eau Claire","Washington","Lowes Creek Area [S of Eau Claire; Washington Twp.]","0","0","Swamp composed of 90% of this plant on the woody line."
"Alnus incana","WIS","wisc_herb_scrape.R","Matson, Robert A.","UWEC00189","23","7","1974","USA","Wisconsin","Rusk","Ladysmith","S of Ladysmith","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Pederson, Roger L.","UWEC00190","29","8","1977","USA","Wisconsin","Buffalo","","Tiffany Wildlife Area","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Becker, Sandra","UWEC00191","27","9","1978","USA","Wisconsin","Eau Claire","","Half Moon Lake","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Neste, C.","UWEC00192","23","4","1961","USA","Wisconsin","Eau Claire","","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Betchkal, S.","UWEC00193","15","6","1996","USA","Wisconsin","Eau Claire","Augusta","About 4 mi. E of Augusta on Coon Fork Rd.","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Kunz, Helen F.","UWEC00194","30","8","1928","USA","Wisconsin","Eau Claire","","Swamp near the Eau Claire River","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Rohrer, Joseph R.","UWEC03307","9","8","2011","USA","Wisconsin","Eau Claire","Eau Claire","City of Eau Claire, University of Wisconsin-Eau Claire, Putnam Park along drive near tamaracks.","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Endris, Mark","UWGB10602","28","9","1980","USA","Wisconsin","Bayfield","Drummond","ANDERSON LAKE","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Fewless, Gary","UWGB10828","4","9","1982","USA","Wisconsin","Door","Baileys Harbor","TOFT","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Trick, Joel A.","UWGB11094","25","8","1982","USA","Wisconsin","Door","Baileys Harbor","RIDGES","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Exxon","UWGB12485","16","6","1977","USA","Wisconsin","Forest","Crandon","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Mclaughlin, Douglas","UWGB13570","10","5","1984","USA","Wisconsin","Brown","Howard","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Fewless, Gary","UWGB13710","20","5","1984","USA","Wisconsin","Brown","Green Bay","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Moore, James P.","UWGB13803","24","4","1984","USA","Wisconsin","Brown","Scott","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Dm","UWGB14061","16","6","1977","USA","Wisconsin","Forest","Crandon","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Meeker, James E.","UWGB15240","10","6","1983","USA","Wisconsin","Door","Baileys Harbor","OLD LIGHTHOUSE POINT","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Meeker, James E.","UWGB15241","10","6","1983","USA","Wisconsin","Door","Baileys Harbor","OLD LIGHTHOUSE POINT","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Moore, James P.","UWGB16057","31","8","1986","USA","Wisconsin","Manitowoc","Gibson","DRUMM MEMORIAL FOREST","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Fewless, Gary","UWGB16103","30","3","1986","USA","Wisconsin","Brown","Suamico","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Fewless, Gary","UWGB16165","30","3","1986","USA","Wisconsin","Brown","Howard","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Fewless, Gary","UWGB16417","12","6","1986","USA","Wisconsin","Door","Sevastopol","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Fewless, Gary","UWGB17499","1","9","1987","USA","Wisconsin","Marinette","Silver Cliff","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Moore, James P.","UWGB18135","19","9","1987","USA","Wisconsin","Brown","Suamico","BARKHAUSEN","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Fewless, Gary","UWGB18402","23","6","1988","USA","Wisconsin","Brown","Scott","BLUEBERRY MARSH","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Fewless, Gary","UWGB19152","1","9","1988","USA","Wisconsin","Marinette","Goodman","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Fewless, Gary","UWGB20095","21","8","1989","USA","Wisconsin","Marinette","Goodman","HOBACHEE LAKE","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Fewless, Gary","UWGB20187","16","9","1989","USA","Wisconsin","Forest","Popple River","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Schuster, Carol","UWGB21053","NA","NA","NA","USA","Wisconsin","Door","Sturgeon Bay","","0","0","Collection date: 1988"
"Alnus incana","WIS","wisc_herb_scrape.R","Fewless, Gary","UWGB21553","15","3","1990","USA","Wisconsin","Brown","Green Bay","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Fewless, Gary","UWGB22609","15","8","1992","USA","Wisconsin","Door","Baileys Harbor","BEDROCK BEACH","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Schuler, Cathy","UWGB3553","8","4","1976","USA","Wisconsin","Manitowoc","Eaton","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Brinker, Dave F.","UWGB3554","11","4","1977","USA","Wisconsin","Brown","Suamico","REFORESTATION CAMP","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Brinker, Dave F.","UWGB3555","15","5","1977","USA","Wisconsin","Brown","Suamico","REFORESTATION CAMP","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Fewless, Gary","UWGB5698","6","5","1979","USA","Wisconsin","Marinette","Goodman","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Fewless, Gary","UWGB5699","6","5","1979","USA","Wisconsin","Marinette","Goodman","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Trick, Joel A.","UWGB6052","16","4","1979","USA","Wisconsin","Manitowoc","Two Rivers","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Trick, Joel A.","UWGB6053","10","4","1979","USA","Wisconsin","Brown","Green Bay","BAIRDS CREEK","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Fewless, Gary","UWGB6407","9","4","1980","USA","Wisconsin","Brown","Howard","PETERS MARSH","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Trick, Joel A.","UWGB6872","23","4","1980","USA","Wisconsin","Brown","Ashwaubenon","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Rickey, Marlin","UWGB819","19","6","1965","USA","Wisconsin","Brown","Eaton","LILY LAKE","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Rose, Virginia","UWGB820","2","10","1972","USA","Wisconsin","Brown","Eaton","LILY LAKE","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Howlett, George","UWGB821","15","7","1968","USA","Wisconsin","Brown","Suamico","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Howlett, George","UWGB822","28","9","1970","USA","Wisconsin","Brown","Suamico","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Howlett, George","UWGB823","28","9","1970","USA","Wisconsin","Brown","Suamico","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Trick, Joel A.","UWGB8374","30","3","1981","USA","Wisconsin","Brown","Scott","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Fewless, Gary","UWGB8577","18","4","1979","USA","Wisconsin","Brown","Howard","W edge of Peters Marsh","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Wallander, Rosie","UWGB9446","8","4","1981","USA","Wisconsin","Brown","Green Bay","UWGB","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Davis, J.D.","UWGB9875","21","8","1976","USA","Wisconsin","Chippewa","Goetz","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","McCauley, Dennis J.","UWL1090","17","9","1980","USA","Wisconsin","La Crosse","","Marsh Rd off Co Tk B","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Koch, Rudy G.","UWL11738","27","6","1970","USA","Wisconsin","Bayfield","Drummond","Perch Lake Campground area, Chequamegon National Forest; ca. 5mi N of Drummond","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Koch, Rudy G.","UWL11740","10","6","1972","USA","Wisconsin","Ashland","Long Island","Sand formed island in Lake Superior S. of Madeline Island in (but not part of) the Apostle Island group","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Koch, Rudy G.","UWL11741","25","4","1969","USA","Wisconsin","Douglas","","12mi S of Superior on Hwy 35; also sections 21,27","0","0","small tree, 6ft"
"Alnus incana","WIS","wisc_herb_scrape.R","Koch, Rudy G.","UWL11742","29","6","1971","USA","Wisconsin","Douglas","South Range","4.5mi E-NE of South Range; 6.5mi SE of Superior","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Koch, Rudy G.","UWL11743","22","5","1974","USA","Wisconsin","Douglas","Solon Springs","St. Croix Lake at Solon Springs","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Koch, Rudy G.","UWL11744","20","6","1970","USA","Wisconsin","Douglas","","1mi N of jct Co. M and Hwy 35; 16mi S of Pattison Park","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Harriman, Neil A.","UWL11746","19","9","1970","USA","Wisconsin","Marinette","Wausaukee","beside US 141 at Nejedlo Rd, just S of Wausaukee","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Harriman, Neil A.","UWL11749","11","6","1972","USA","Wisconsin","Douglas","","town road near Sullivan Lake","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Ludwig, Larry","UWL11750","12","7","1970","USA","Wisconsin","Ashland","","[orig. T49N-err]","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Koch, Rudy G.","UWL11754","10","9","1971","USA","Wisconsin","Douglas","Superior","rear beach area of Wisconsin Point forming the Superior Harbor","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Team 2","UWL1283","23","7","1975","USA","Wisconsin","Ashland","Michigan Island","Plot 58, A-","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Koch, Rudy G.","UWL28895","31","7","1978","USA","Wisconsin","Ashland","Outer Island","SE corner of Outer Island [S15 - original in error; SW corner of island; Sand Point]","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Koch, Rudy G.","UWL29460","22","8","1969","USA","Wisconsin","Bayfield","Drummond","Lake Owen Campground area, ca. 5mi W Drummond","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Kott, Bonnie K.","UWL30855","17","9","1980","USA","Wisconsin","La Crosse","","CTH O and Swamp Road","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Hansen, Marilyn","UWL30952","18","7","1971","USA","Wisconsin","Taylor","","S shore of North Twin Lake, 1mi SW of S end of Mondeaux Flowage, 11mi (by air) NNW of Medford","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Koch, Rudy G.","UWL31032","9","6","1980","USA","Wisconsin","Ashland","Oak Island","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Bjork, Ann","UWL31320","9","7","1980","USA","Wisconsin","Iron","","ca. 7mi S Saxon","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Koch, Rudy G.","UWL31324","18","6","1979","USA","Wisconsin","Bayfield","Raspberry Island","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","McDonald, Sue","UWL31769","9","8","1980","USA","Wisconsin","Douglas","","Brietzmans Bog, ca. 20mi S of Superior","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Koch, Rudy G.","UWL31993","25","7","1979","USA","Wisconsin","Bayfield","York Island","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Callister, Steven M.","UWL32875","24","9","1980","USA","Wisconsin","Bayfield","","Anderson Lake","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Lahti, Duane","UWL32876","13","6","1980","USA","Wisconsin","Bayfield","","Muskeg River","0","0","large numbers"
"Alnus incana","WIS","wisc_herb_scrape.R","Koch, Rudy G.","UWL3976","23","6","1976","USA","Wisconsin","Douglas","Patzau","ca. 1mi S, 0.5mi E Patzau - Little Balsam Basin","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Ziegler, S.R.","UWL40325","21","9","1974","USA","Wisconsin","La Crosse","","E of La Crosse below road between CTH O and CTH M","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Nontelle, Deon M.","UWL40326","14","9","1972","USA","Wisconsin","La Crosse","","CTH J; 0.5mi S of Hwy 16","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Nontelle, Deon M.","UWL40328","11","9","1972","USA","Wisconsin","La Crosse","","1mi E of jct. of CTH D with CTH C","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Nontelle, Deon M.","UWL40330","22","5","1972","USA","Wisconsin","La Crosse","Barre","near Barre dump, 1mi from Barre Mills on CTH O","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Nontelle, Deon M.","UWL40331","31","5","1971","USA","Wisconsin","La Crosse","","CTH B, E of jct of CTHs. O and B","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Liebsetler, Howard","UWL40332","17","4","1966","USA","Wisconsin","La Crosse","","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Valiquette, Keith","UWL40333","8","5","1966","USA","Wisconsin","La Crosse","","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Hornung, Tom","UWL40335","9","9","1978","USA","Wisconsin","Buffalo","Milton","Fountain City Bay across from Merrick Park. Mississippi River","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Hartley, Thomas G.","UWL40336","13","9","1958","USA","Wisconsin","Adams","Springville","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Davis, J.D.","UWL40337","21","8","1976","USA","Wisconsin","Chippewa","","Cadote. On Hwy 27 wayside 2mi. from 29/27 jct.","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Nash, M.","UWL40338","18","5","1969","USA","Wisconsin","Barron","New Auburn","1mi N of New Auburn [Chippewa Co.] along Hwy 53","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Sohmer, S.H.","UWL40339","18","5","1969","USA","Wisconsin","Barron","New Auburn","about 5mi N of New Auburn [Chippewa Co.] on Hwy 53","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Gabrielson, L.A.","UWL40340","17","5","1969","USA","Wisconsin","Barron","","6mi N of New Auburn on Hwy 53","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Sefton, D.F.","UWL40341","21","9","1974","USA","Wisconsin","Vilas","Phelps","Sand Lake, near old public boat landing","0","0","Tag alder, catkins and cones; bush approx. 2.3m tall"
"Alnus incana","WIS","wisc_herb_scrape.R","Ekern, Steven L.","UWL40342","11","9","1976","USA","Wisconsin","Trempealeau","","Tamarack Creek Area, 8mi W [sic for N] of Centerville on Hwy 93, 2mi S on Co Tk F","0","0","shrub, up to 4m high"
"Alnus incana","WIS","wisc_herb_scrape.R","Noel, Richard","UWL40343","5","4","1967","USA","Wisconsin","Vernon","Stoddard","0.5mi S of Stoddard","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Lenser, Gregory J.","UWL40344","7","5","1971","USA","Wisconsin","Trempealeau","Centerville","5mi N of Centerville on Hwy 93","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Hall, Wayne","UWL40345","11","4","1966","USA","Wisconsin","Monroe","","Tarr Creek","0","0","Fruit collected 11/Apr/1966; leaves collected 22/May/1966"
"Alnus incana","WIS","wisc_herb_scrape.R","Harvey, Karen","UWL40346","17","5","1968","USA","Wisconsin","Bayfield","","Anderson Lake","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Ragoonanan, Moonesh","UWL40347","17","5","1969","USA","Wisconsin","Bayfield","","2.5mi W of Pigeon Lake","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Stackler, Susan","UWL4249","20","4","1976","USA","Wisconsin","Douglas","Patzau","ca. 1mi N, 0.5mi W Patzau Little Balsam Basin","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Hartley, Thomas G.","UWL51344","25","6","1959","USA","Wisconsin","Jackson","Bear Bluff","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Fewless, Gary","UWL51762","18","4","1979","USA","Wisconsin","Brown","Howard","W edge of Peters Marsh","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Huston, Mark","UWL60575","17","7","1982","USA","Wisconsin","Bayfield","","Lake Owen","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Ruhser, Jean C.","UWL63676","8","7","1972","USA","Wisconsin","Jackson","","Black River State Forest along Hwy 54","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Collins, Kieth","UWL64848","28","7","1980","USA","Wisconsin","Ashland","Ironwood Island","Lake Michigan","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Koch, Rudy G.","UWL65000","17","6","1982","USA","Wisconsin","Ashland","Manitou Island","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Wurtzler, Janet A.","UWL65365","8","4","1984","USA","Wisconsin","Langlade","","Black Hawk Rd just after fork, near trout stream crossing","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Koch, Rudy G.","UWL68782","14","8","1981","USA","Wisconsin","Bayfield","Eagle Island","","0","0","Large shrub (ca. 2.5m)"
"Alnus incana","WIS","wisc_herb_scrape.R","Koch, Rudy G.","UWL69050","16","6","1982","USA","Wisconsin","Ashland","Outer Island","","0","0",""
"Alnus incana","WIS","wisc_herb_scrape.R","Duecker, Norman Paul","UWM0000662","19","11","1949","USA","Wisconsin","Marquette","","16 mi N of Portage","0","0","[UWM12334]"
"Alnus incana","WIS","wisc_herb_scrape.R","Walker, R.I.","UWM0000663","NA","NA","NA","USA","Wisconsin","Sheboygan","","S Terry Andrae [Kohler-Andrae State Park]","0","0","[UWM16385]"
